source,target,country,meaning,source_word
They ran out of milk at the grocery store.,They ran out of milk at the supermarket.,British,A store that sells food and household items,grocery store
soccer,football,British,A game played by two teams of eleven players with a round ball,soccer
He loves playing soccer on weekends.,He loves playing football on weekends.,British,A game played by two teams of eleven players with a round ball,soccer
She watches soccer games every Sunday.,She watches football games every Sunday.,British,A game played by two teams of eleven players with a round ball,soccer
I enjoy watching soccer matches on TV.,I enjoy watching football matches on TV.,British,A game played by two teams of eleven players with a round ball,soccer
They are organizing a soccer tournament next week.,They are organizing a football tournament next week.,British,A game played by two teams of eleven players with a round ball,soccer
napkin,serviette,British,A piece of cloth or paper used to wipe the face or hands,napkin
Please pass me a napkin.,Please pass me a serviette.,British,A piece of cloth or paper used to wipe the face or hands,napkin
She spilled something on her shirt and needed a napkin.,She spilled something on her shirt and needed a serviette.,British,A piece of cloth or paper used to wipe the face or hands,napkin
He always keeps a napkin by his side during meals.,He always keeps a serviette by his side during meals.,British,A piece of cloth or paper used to wipe the face or hands,napkin
The waiter brought a napkin to the table.,The waiter brought a serviette to the table.,British,A piece of cloth or paper used to wipe the face or hands,napkin
vacation,holiday,British,A period of time spent away from home for rest or travel,vacation
I'm planning a vacation next month.,I'm planning a holiday next month.,British,A period of time spent away from home for rest or travel,vacation
We went on a vacation to the beach.,We went on a holiday to the beach.,British,A period of time spent away from home for rest or travel,vacation
"During our vacation, we visited several countries.","During our holiday, we visited several countries.",British,A period of time spent away from home for rest or travel,vacation
I need a vacation to recharge my batteries.,I need a holiday to recharge my batteries.,British,A period of time spent away from home for rest or travel,vacation
line,queue,British,A series of people or vehicles waiting for something,line
We stood in line for tickets.,We stood in a queue for tickets.,British,A series of people or vehicles waiting for something,line
The line for the concert was very long.,The queue for the concert was very long.,British,A series of people or vehicles waiting for something,line
There were many people in line at the store.,There were many people in the queue at the store.,British,A series of people or vehicles waiting for something,line
I waited in line for 30 minutes.,I waited in the queue for 30 minutes.,British,A series of people or vehicles waiting for something,line
gas station,petrol station,British,A place where fuel for vehicles is sold,gas station
I need to stop at a gas station to refuel.,I need to stop at a petrol station to refuel.,British,A place where fuel for vehicles is sold,gas station
Thereâs a gas station on the next corner.,Thereâs a petrol station on the next corner.,British,A place where fuel for vehicles is sold,gas station
"My car is low on gas, letâs go to the gas station.","My car is low on petrol, letâs go to the petrol station.",British,A place where fuel for vehicles is sold,gas station
The gas station is closed at night.,The petrol station is closed at night.,British,A place where fuel for vehicles is sold,gas station
train station,railway station,British,A building or area where trains arrive and depart,train station
Iâll meet you at the train station.,Iâll meet you at the railway station.,British,A building or area where trains arrive and depart,train station
The train station was crowded with commuters.,The railway station was crowded with commuters.,British,A building or area where trains arrive and depart,train station
We arrived at the train station early.,We arrived at the railway station early.,British,A building or area where trains arrive and depart,train station
He works near the train station.,He works near the railway station.,British,A building or area where trains arrive and depart,train station
restroom,loo,British,A room with a toilet for use by the public,restroom
Whereâs the nearest restroom?,Whereâs the nearest loo?,British,A room with a toilet for use by the public,restroom
The restroom was out of order.,The loo was out of order.,British,A room with a toilet for use by the public,restroom
I need to use the restroom.,I need to use the loo.,British,A room with a toilet for use by the public,restroom
Thereâs a restroom in the lobby.,Thereâs a loo in the lobby.,British,A room with a toilet for use by the public,restroom
plumber,plumber,Australia,A person who installs and repairs water pipes,plumber
I called a plumber to fix the sink.,I called a plumber to fix the sink.,Australia,A person who installs and repairs water pipes,plumber
The plumber is coming to fix the leak.,The plumber is coming to fix the leak.,Australia,A person who installs and repairs water pipes,plumber
We need a plumber to repair the water pipes.,We need a plumber to repair the water pipes.,Australia,A person who installs and repairs water pipes,plumber
A plumber is coming to install the new faucet.,A plumber is coming to install the new faucet.,Australia,A person who installs and repairs water pipes,plumber
driving license,driving licence,British,A permit issued by a government that allows a person to drive a vehicle,driving license
I need to renew my driving license.,I need to renew my driving licence.,British,A permit issued by a government that allows a person to drive a vehicle,driving license
She just got her driving license.,She just got her driving licence.,British,A permit issued by a government that allows a person to drive a vehicle,driving license
His driving license expired last month.,His driving licence expired last month.,British,A permit issued by a government that allows a person to drive a vehicle,driving license
"I lost my driving license, I need to apply for a new one.","I lost my driving licence, I need to apply for a new one.",British,A permit issued by a government that allows a person to drive a vehicle,driving license
ups and downs,swings and roundabouts,British,The good and bad times in life,ups and downs
Life is full of ups and downs.,Life is full of swings and roundabouts.,British,The good and bad times in life,ups and downs
The project had its ups and downs.,The project had its swings and roundabouts.,British,The good and bad times in life,ups and downs
Everyone experiences ups and downs.,Everyone experiences swings and roundabouts.,British,The good and bad times in life,ups and downs
They faced many ups and downs along the way.,They faced many swings and roundabouts along the way.,British,The good and bad times in life,ups and downs
skeletons in the closet,skeletons in the cupboard,British,Hidden secrets,skeletons in the closet
Everyone has skeletons in the closet.,Everyone has skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
He has a few skeletons in the closet.,He has a few skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
The politician?s skeletons in the closet were exposed.,The politician?s skeletons in the cupboard were exposed.,British,Hidden secrets,skeletons in the closet
She is worried about her skeletons in the closet.,She is worried about her skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
tear into someone,have a go at someone,British,Criticize or scold someone,tear into someone
She tore into him for being late.,She had a go at him for being late.,British,Criticize or scold someone,tear into someone
The manager tore into the team after the loss.,The manager had a go at the team after the loss.,British,Criticize or scold someone,tear into someone
He tore into his friend over the mistake.,He had a go at his friend over the mistake.,British,Criticize or scold someone,tear into someone
The coach tore into the players during halftime.,The coach had a go at the players during halftime.,British,Criticize or scold someone,tear into someone
a tempest in a teapot,a storm in a teacup,British,Making a big deal out of something small,a tempest in a teapot
This argument is just a tempest in a teapot.,This argument is just a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
It was all a tempest in a teapot.,It was all a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
They?re making a tempest in a teapot over a minor issue.,They?re making a storm in a teacup over a minor issue.,British,Making a big deal out of something small,a tempest in a teapot
Her reaction was a tempest in a teapot.,Her reaction was a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
a drop in the bucket,a drop in the ocean,British,"A small, insignificant amount",a drop in the bucket
My donation was just a drop in the bucket.,My donation was just a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
That money is only a drop in the bucket.,That money is only a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
All their efforts were a drop in the bucket.,All their efforts were a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
The funding provided is just a drop in the bucket.,The funding provided is just a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
tough titty,hard cheese,British,A dismissive way to say tough luck,tough titty
"If you missed the bus, tough titty.","If you missed the bus, hard cheese.",British,A dismissive way to say tough luck,tough titty
"Tough titty, you just have to deal with it.","Hard cheese, you just have to deal with it.",British,A dismissive way to say tough luck,tough titty
They said tough titty when he complained.,They said hard cheese when he complained.,British,A dismissive way to say tough luck,tough titty
Tough titty! You missed your chance.,Hard cheese! You missed your chance.,British,A dismissive way to say tough luck,tough titty
ups and downs,swings and roundabouts,British,The good and bad times in life,ups and downs
Life is full of ups and downs.,Life is full of swings and roundabouts.,British,The good and bad times in life,ups and downs
The project had its ups and downs.,The project had its swings and roundabouts.,British,The good and bad times in life,ups and downs
Everyone experiences ups and downs.,Everyone experiences swings and roundabouts.,British,The good and bad times in life,ups and downs
They faced many ups and downs along the way.,They faced many swings and roundabouts along the way.,British,The good and bad times in life,ups and downs
skeletons in the closet,skeletons in the cupboard,British,Hidden secrets,skeletons in the closet
Everyone has skeletons in the closet.,Everyone has skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
He has a few skeletons in the closet.,He has a few skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
The politician?s skeletons in the closet were exposed.,The politician?s skeletons in the cupboard were exposed.,British,Hidden secrets,skeletons in the closet
She is worried about her skeletons in the closet.,She is worried about her skeletons in the cupboard.,British,Hidden secrets,skeletons in the closet
tear into someone,have a go at someone,British,Criticize or scold someone,tear into someone
She tore into him for being late.,She had a go at him for being late.,British,Criticize or scold someone,tear into someone
The manager tore into the team after the loss.,The manager had a go at the team after the loss.,British,Criticize or scold someone,tear into someone
He tore into his friend over the mistake.,He had a go at his friend over the mistake.,British,Criticize or scold someone,tear into someone
The coach tore into the players during halftime.,The coach had a go at the players during halftime.,British,Criticize or scold someone,tear into someone
a tempest in a teapot,a storm in a teacup,British,Making a big deal out of something small,a tempest in a teapot
This argument is just a tempest in a teapot.,This argument is just a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
It was all a tempest in a teapot.,It was all a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
They?re making a tempest in a teapot over a minor issue.,They?re making a storm in a teacup over a minor issue.,British,Making a big deal out of something small,a tempest in a teapot
Her reaction was a tempest in a teapot.,Her reaction was a storm in a teacup.,British,Making a big deal out of something small,a tempest in a teapot
a drop in the bucket,a drop in the ocean,British,"A small, insignificant amount",a drop in the bucket
My donation was just a drop in the bucket.,My donation was just a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
That money is only a drop in the bucket.,That money is only a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
All their efforts were a drop in the bucket.,All their efforts were a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
The funding provided is just a drop in the bucket.,The funding provided is just a drop in the ocean.,British,"A small, insignificant amount",a drop in the bucket
tough titty,hard cheese,British,A dismissive way to say tough luck,tough titty
"If you missed the bus, tough titty.","If you missed the bus, hard cheese.",British,A dismissive way to say tough luck,tough titty
"Tough titty, you just have to deal with it.","Hard cheese, you just have to deal with it.",British,A dismissive way to say tough luck,tough titty
They said tough titty when he complained.,They said hard cheese when he complained.,British,A dismissive way to say tough luck,tough titty
Tough titty! You missed your chance.,Hard cheese! You missed your chance.,British,A dismissive way to say tough luck,tough titty
rant and rave about something,bang on about something,British,To complain loudly and passionately,rant and rave about something
He loves to rant and rave about politics.,He loves to bang on about politics.,British,To complain loudly and passionately,rant and rave about something
Stop ranting and raving about it.,Stop banging on about it.,British,To complain loudly and passionately,rant and rave about something
She was ranting and raving about her boss.,She was banging on about her boss.,British,To complain loudly and passionately,rant and rave about something
He's always ranting and raving about something trivial.,He's always banging on about something trivial.,British,To complain loudly and passionately,rant and rave about something
call it as one sees it,call a spade a spade,British,To speak frankly and directly,call it as one sees it
I just call it as I see it.,I just call a spade a spade.,British,To speak frankly and directly,call it as one sees it
She's known for calling it as she sees it.,She's known for calling a spade a spade.,British,To speak frankly and directly,call it as one sees it
"He called it as he saw it, without any sugar-coating.","He called a spade a spade, without any sugar-coating.",British,To speak frankly and directly,call it as one sees it
"Sometimes, you have to call it as you see it.","Sometimes, you have to call a spade a spade.",British,To speak frankly and directly,call it as one sees it
hit the books,cram,British,To study intensely,hit the books
It's time to hit the books for finals.,It's time to cram for finals.,British,To study intensely,hit the books
I need to hit the books this weekend.,I need to cram this weekend.,British,To study intensely,hit the books
She's hitting the books hard for her exams.,She's cramming hard for her exams.,British,To study intensely,hit the books
I have to hit the books if I want to pass.,I have to cram if I want to pass.,British,To study intensely,hit the books
seek new pastures,get itchy feet,British,To look for new opportunities,seek new pastures
He wants to seek new pastures abroad.,He wants to get itchy feet abroad.,British,To look for new opportunities,seek new pastures
She?s ready to seek new pastures.,She?s ready to get itchy feet.,British,To look for new opportunities,seek new pastures
Many young people seek new pastures for adventure.,Many young people get itchy feet for adventure.,British,To look for new opportunities,seek new pastures
He sought new pastures to advance his career.,He got itchy feet to advance his career.,British,To look for new opportunities,seek new pastures
go south,go pear-shaped,British,To fail or go wrong,go south
Everything went south during the event.,Everything went pear-shaped during the event.,British,To fail or go wrong,go south
The plan started to go south quickly.,The plan started to go pear-shaped quickly.,British,To fail or go wrong,go south
Their business went south after the recession.,Their business went pear-shaped after the recession.,British,To fail or go wrong,go south
The situation could go south at any moment.,The situation could go pear-shaped at any moment.,British,To fail or go wrong,go south
wait in line,queue up,British,To stand in a line awaiting service,wait in line
We had to wait in line for hours.,We had to queue up for hours.,British,To stand in a line awaiting service,wait in line
Please wait in line until it's your turn.,Please queue up until it's your turn.,British,To stand in a line awaiting service,wait in line
They told us to wait in line for tickets.,They told us to queue up for tickets.,British,To stand in a line awaiting service,wait in line
People had to wait in line outside the store.,People had to queue up outside the store.,British,To stand in a line awaiting service,wait in line
toilet,dunny,Australia,A place for relieving oneself,toilet
Where's the toilet?,Where's the dunny?,Australia,A place for relieving oneself,toilet
I need to go to the toilet.,I need to go to the dunny.,Australia,A place for relieving oneself,toilet
Is there a toilet nearby?,Is there a dunny nearby?,Australia,A place for relieving oneself,toilet
The toilet is out of order.,The dunny is out of order.,Australia,A place for relieving oneself,toilet
chicken,chook,Australia,A bird raised for its meat and eggs,chicken
I need to buy a chicken.,I need to buy a chook.,Australia,A bird raised for its meat and eggs,chicken
She raises chickens on her farm.,She raises chooks on her farm.,Australia,A bird raised for its meat and eggs,chicken
They sell fresh chicken at the market.,They sell fresh chook at the market.,Australia,A bird raised for its meat and eggs,chicken
The chicken laid an egg.,The chook laid an egg.,Australia,A bird raised for its meat and eggs,chicken
hurricane,cyclone,Australia,A powerful storm system,hurricane
The hurricane caused a lot of damage.,The cyclone caused a lot of damage.,Australia,A powerful storm system,hurricane
People were evacuated before the hurricane hit.,People were evacuated before the cyclone hit.,Australia,A powerful storm system,hurricane
The hurricane warnings were issued yesterday.,The cyclone warnings were issued yesterday.,Australia,A powerful storm system,hurricane
They are preparing for a hurricane.,They are preparing for a cyclone.,Australia,A powerful storm system,hurricane
cash register,till,British,A machine for recording sales and holding money,cash register
The cash register is broken.,The till is broken.,British,A machine for recording sales and holding money,cash register
She put the money in the cash register.,She put the money in the till.,British,A machine for recording sales and holding money,cash register
They opened a new cash register for customers.,They opened a new till for customers.,British,A machine for recording sales and holding money,cash register
He counted the cash in the register.,He counted the cash in the till.,British,A machine for recording sales and holding money,cash register
cash register,till,Ireland,A machine for recording sales and holding money,cash register
The cash register is broken.,The till is broken.,Ireland,A machine for recording sales and holding money,cash register
She put the money in the cash register.,She put the money in the till.,Ireland,A machine for recording sales and holding money,cash register
They opened a new cash register for customers.,They opened a new till for customers.,Ireland,A machine for recording sales and holding money,cash register
He counted the cash in the register.,He counted the cash in the till.,Ireland,A machine for recording sales and holding money,cash register
cash register,till,Australia,A machine for recording sales and holding money,cash register
The cash register is broken.,The till is broken.,Australia,A machine for recording sales and holding money,cash register
She put the money in the cash register.,She put the money in the till.,Australia,A machine for recording sales and holding money,cash register
They opened a new cash register for customers.,They opened a new till for customers.,Australia,A machine for recording sales and holding money,cash register
He counted the cash in the register.,He counted the cash in the till.,Australia,A machine for recording sales and holding money,cash register
fall,autumn,British,The season between summer and winter,fall
The leaves change color in the fall.,The leaves change colour in autumn.,British,The season between summer and winter,fall
Fall is my favorite season.,Autumn is my favourite season.,British,The season between summer and winter,fall
It gets chilly in the fall.,It gets chilly in autumn.,British,The season between summer and winter,fall
Fall brings shorter days and cooler weather.,Autumn brings shorter days and cooler weather.,British,The season between summer and winter,fall
fall,autumn,Ireland,The season between summer and winter,fall
The leaves change color in the fall.,The leaves change colour in autumn.,Ireland,The season between summer and winter,fall
Fall is my favorite season.,Autumn is my favourite season.,Ireland,The season between summer and winter,fall
It gets chilly in the fall.,It gets chilly in autumn.,Ireland,The season between summer and winter,fall
Fall brings shorter days and cooler weather.,Autumn brings shorter days and cooler weather.,Ireland,The season between summer and winter,fall
fall,autumn,Australia,The season between summer and winter,fall
The leaves change color in the fall.,The leaves change colour in autumn.,Australia,The season between summer and winter,fall
Fall is my favorite season.,Autumn is my favourite season.,Australia,The season between summer and winter,fall
It gets chilly in the fall.,It gets chilly in autumn.,Australia,The season between summer and winter,fall
Fall brings shorter days and cooler weather.,Autumn brings shorter days and cooler weather.,Australia,The season between summer and winter,fall
check,tick,British,To mark something as completed or verified,check
Please check the box if you agree.,Please tick the box if you agree.,British,To mark something as completed or verified,check
I need to check off the items on my list.,I need to tick off the items on my list.,British,To mark something as completed or verified,check
Check each answer carefully.,Tick each answer carefully.,British,To mark something as completed or verified,check
Make sure to check all the boxes.,Make sure to tick all the boxes.,British,To mark something as completed or verified,check
check,tick,Ireland,To mark something as completed or verified,check
Please check the box if you agree.,Please tick the box if you agree.,Ireland,To mark something as completed or verified,check
I need to check off the items on my list.,I need to tick off the items on my list.,Ireland,To mark something as completed or verified,check
Check each answer carefully.,Tick each answer carefully.,Ireland,To mark something as completed or verified,check
Make sure to check all the boxes.,Make sure to tick all the boxes.,Ireland,To mark something as completed or verified,check
check,tick,Australia,To mark something as completed or verified,check
Please check the box if you agree.,Please tick the box if you agree.,Australia,To mark something as completed or verified,check
I need to check off the items on my list.,I need to tick off the items on my list.,Australia,To mark something as completed or verified,check
Check each answer carefully.,Tick each answer carefully.,Australia,To mark something as completed or verified,check
Make sure to check all the boxes.,Make sure to tick all the boxes.,Australia,To mark something as completed or verified,check
vacation house,holiday home,British,A house rented for vacations,vacation house
We rented a vacation house by the beach.,We rented a holiday home by the beach.,British,A house rented for vacations,vacation house
They have a vacation house in the countryside.,They have a holiday home in the countryside.,British,A house rented for vacations,vacation house
The vacation house is available for the summer.,The holiday home is available for the summer.,British,A house rented for vacations,vacation house
They spent a week in their vacation house.,They spent a week in their holiday home.,British,A house rented for vacations,vacation house
vacation house,holiday home,Ireland,A house rented for vacations,vacation house
We rented a vacation house by the beach.,We rented a holiday home by the beach.,Ireland,A house rented for vacations,vacation house
They have a vacation house in the countryside.,They have a holiday home in the countryside.,Ireland,A house rented for vacations,vacation house
The vacation house is available for the summer.,The holiday home is available for the summer.,Ireland,A house rented for vacations,vacation house
They spent a week in their vacation house.,They spent a week in their holiday home.,Ireland,A house rented for vacations,vacation house
vacation house,holiday home,Australia,A house rented for vacations,vacation house
We rented a vacation house by the beach.,We rented a holiday home by the beach.,Australia,A house rented for vacations,vacation house
They have a vacation house in the countryside.,They have a holiday home in the countryside.,Australia,A house rented for vacations,vacation house
The vacation house is available for the summer.,The holiday home is available for the summer.,Australia,A house rented for vacations,vacation house
They spent a week in their vacation house.,They spent a week in their holiday home.,Australia,A house rented for vacations,vacation house
convenience store,corner shop,British,A small store that sells everyday items,convenience store
There's a convenience store on every corner.,There's a corner shop on every corner.,British,A small store that sells everyday items,convenience store
He bought some snacks at the convenience store.,He bought some snacks at the corner shop.,British,A small store that sells everyday items,convenience store
The convenience store is open 24/7.,The corner shop is open 24/7.,British,A small store that sells everyday items,convenience store
I stopped by the convenience store for milk.,I stopped by the corner shop for milk.,British,A small store that sells everyday items,convenience store
convenience store,corner shop,Ireland,A small store that sells everyday items,convenience store
There's a convenience store on every corner.,There's a corner shop on every corner.,Ireland,A small store that sells everyday items,convenience store
He bought some snacks at the convenience store.,He bought some snacks at the corner shop.,Ireland,A small store that sells everyday items,convenience store
The convenience store is open 24/7.,The corner shop is open 24/7.,Ireland,A small store that sells everyday items,convenience store
I stopped by the convenience store for milk.,I stopped by the corner shop for milk.,Ireland,A small store that sells everyday items,convenience store
convenience store,milk bar,Australia,A small store that sells everyday items,convenience store
There's a convenience store on every corner.,There's a milk bar on every corner.,Australia,A small store that sells everyday items,convenience store
He bought some snacks at the convenience store.,He bought some snacks at the milk bar.,Australia,A small store that sells everyday items,convenience store
The convenience store is open 24/7.,The milk bar is open 24/7.,Australia,A small store that sells everyday items,convenience store
I stopped by the convenience store for milk.,I stopped by the milk bar for milk.,Australia,A small store that sells everyday items,convenience store
stroller,pram/buggy,British,A device for carrying babies or young children,stroller
She put the baby in the stroller.,She put the baby in the pram.,British,A device for carrying babies or young children,stroller
The stroller was hard to push on the gravel.,The pram was hard to push on the gravel.,British,A device for carrying babies or young children,stroller
They bought a new stroller for their baby.,They bought a new pram for their baby.,British,A device for carrying babies or young children,stroller
I took the stroller to the park.,I took the pram to the park.,British,A device for carrying babies or young children,stroller
stroller,pram/buggy,Ireland,A device for carrying babies or young children,stroller
She put the baby in the stroller.,She put the baby in the pram.,Ireland,A device for carrying babies or young children,stroller
The stroller was hard to push on the gravel.,The pram was hard to push on the gravel.,Ireland,A device for carrying babies or young children,stroller
They bought a new stroller for their baby.,They bought a new pram for their baby.,Ireland,A device for carrying babies or young children,stroller
I took the stroller to the park.,I took the pram to the park.,Ireland,A device for carrying babies or young children,stroller
stroller,pram/buggy,Australia,A device for carrying babies or young children,stroller
She put the baby in the stroller.,She put the baby in the pram.,Australia,A device for carrying babies or young children,stroller
The stroller was hard to push on the gravel.,The pram was hard to push on the gravel.,Australia,A device for carrying babies or young children,stroller
They bought a new stroller for their baby.,They bought a new pram for their baby.,Australia,A device for carrying babies or young children,stroller
I took the stroller to the park.,I took the pram to the park.,Australia,A device for carrying babies or young children,stroller
jumping jacks,star jump,British,A physical exercise involving jumping with legs and arms spread,jumping jacks
We did 20 jumping jacks for warm-up.,We did 20 star jumps for warm-up.,British,A physical exercise involving jumping with legs and arms spread,jumping jacks
Jumping jacks are a good cardio exercise.,Star jumps are a good cardio exercise.,British,A physical exercise involving jumping with legs and arms spread,jumping jacks
The coach asked us to do jumping jacks.,The coach asked us to do star jumps.,British,A physical exercise involving jumping with legs and arms spread,jumping jacks
He demonstrated how to do jumping jacks properly.,He demonstrated how to do star jumps properly.,British,A physical exercise involving jumping with legs and arms spread,jumping jacks
jumping jacks,star jump,Ireland,A physical exercise involving jumping with legs and arms spread,jumping jacks
We did 20 jumping jacks for warm-up.,We did 20 star jumps for warm-up.,Ireland,A physical exercise involving jumping with legs and arms spread,jumping jacks
Jumping jacks are a good cardio exercise.,Star jumps are a good cardio exercise.,Ireland,A physical exercise involving jumping with legs and arms spread,jumping jacks
The coach asked us to do jumping jacks.,The coach asked us to do star jumps.,Ireland,A physical exercise involving jumping with legs and arms spread,jumping jacks
He demonstrated how to do jumping jacks properly.,He demonstrated how to do star jumps properly.,Ireland,A physical exercise involving jumping with legs and arms spread,jumping jacks
jumping jacks,star jump,Australia,A physical exercise involving jumping with legs and arms spread,jumping jacks
We did 20 jumping jacks for warm-up.,We did 20 star jumps for warm-up.,Australia,A physical exercise involving jumping with legs and arms spread,jumping jacks
Jumping jacks are a good cardio exercise.,Star jumps are a good cardio exercise.,Australia,A physical exercise involving jumping with legs and arms spread,jumping jacks
The coach asked us to do jumping jacks.,The coach asked us to do star jumps.,Australia,A physical exercise involving jumping with legs and arms spread,jumping jacks
He demonstrated how to do jumping jacks properly.,He demonstrated how to do star jumps properly.,Australia,A physical exercise involving jumping with legs and arms spread,jumping jacks
police,garda,Ireland,The organization responsible for enforcing the law,police
The police arrived quickly.,The garda arrived quickly.,Ireland,The organization responsible for enforcing the law,police
He called the police for help.,He called the garda for help.,Ireland,The organization responsible for enforcing the law,police
The police are investigating the case.,The garda are investigating the case.,Ireland,The organization responsible for enforcing the law,police
I saw the police patrolling the area.,I saw the garda patrolling the area.,Ireland,The organization responsible for enforcing the law,police
soccer,football,British,A popular team sport played with a round ball,soccer
He loves to play soccer.,He loves to play football.,British,A popular team sport played with a round ball,soccer
Soccer is very popular here.,Football is very popular here.,British,A popular team sport played with a round ball,soccer
The soccer game starts at 3 PM.,The football game starts at 3 PM.,British,A popular team sport played with a round ball,soccer
They practice soccer every weekend.,They practice football every weekend.,British,A popular team sport played with a round ball,soccer
truck,lorry,British,A large motor vehicle for transporting goods,truck
The truck is loaded with supplies.,The lorry is loaded with supplies.,British,A large motor vehicle for transporting goods,truck
He drives a truck for a living.,He drives a lorry for a living.,British,A large motor vehicle for transporting goods,truck
The truck was parked by the warehouse.,The lorry was parked by the warehouse.,British,A large motor vehicle for transporting goods,truck
They ordered a new truck for deliveries.,They ordered a new lorry for deliveries.,British,A large motor vehicle for transporting goods,truck
cookie,biscuit,British,"A small baked treat, often sweetened",cookie
She baked a batch of cookies.,She baked a batch of biscuits.,British,"A small baked treat, often sweetened",cookie
Would you like a cookie?,Would you like a biscuit?,British,"A small baked treat, often sweetened",cookie
The cookie was delicious.,The biscuit was delicious.,British,"A small baked treat, often sweetened",cookie
He dunked the cookie in his milk.,He dunked the biscuit in his milk.,British,"A small baked treat, often sweetened",cookie
movie,film,British,A motion picture,movie
We watched a movie last night.,We watched a film last night.,British,A motion picture,movie
The movie was really good.,The film was really good.,British,A motion picture,movie
She's a fan of horror movies.,She's a fan of horror films.,British,A motion picture,movie
The movie won several awards.,The film won several awards.,British,A motion picture,movie
gas,fuel,British,A substance used to power vehicles,gas
I need to fill up my car with gas.,I need to fill up my car with fuel.,British,A substance used to power vehicles,gas
The gas tank is almost empty.,The fuel tank is almost empty.,British,A substance used to power vehicles,gas
Gas prices are increasing.,Fuel prices are increasing.,British,A substance used to power vehicles,gas
He always uses premium gas.,He always uses premium fuel.,British,A substance used to power vehicles,gas
eraser,rubber,British,An item used to remove pencil marks,eraser
I need an eraser for my pencil.,I need a rubber for my pencil.,British,An item used to remove pencil marks,eraser
She borrowed my eraser during the test.,She borrowed my rubber during the test.,British,An item used to remove pencil marks,eraser
The eraser is worn out from use.,The rubber is worn out from use.,British,An item used to remove pencil marks,eraser
He couldn't find his eraser.,He couldn't find his rubber.,British,An item used to remove pencil marks,eraser
french fries,chips,British,Sliced and deep-fried potatoes,french fries
I'd like a burger with french fries.,I'd like a burger with chips.,British,Sliced and deep-fried potatoes,french fries
She ordered a side of french fries.,She ordered a side of chips.,British,Sliced and deep-fried potatoes,french fries
French fries are best with ketchup.,Chips are best with ketchup.,British,Sliced and deep-fried potatoes,french fries
Do you want french fries with your meal?,Do you want chips with your meal?,British,Sliced and deep-fried potatoes,french fries
chips,crisps,British,"Thin, fried slices of potato",chips
I bought a bag of chips.,I bought a bag of crisps.,British,"Thin, fried slices of potato",chips
She likes barbecue-flavored chips.,She likes barbecue-flavored crisps.,British,"Thin, fried slices of potato",chips
The kids love eating chips as a snack.,The kids love eating crisps as a snack.,British,"Thin, fried slices of potato",chips
I packed chips for the picnic.,I packed crisps for the picnic.,British,"Thin, fried slices of potato",chips
vacation,holiday,British,Time taken off from work or school,vacation
We're planning a summer vacation.,We're planning a summer holiday.,British,Time taken off from work or school,vacation
She took a week-long vacation.,She took a week-long holiday.,British,Time taken off from work or school,vacation
How was your vacation?,How was your holiday?,British,Time taken off from work or school,vacation
They spent their vacation abroad.,They spent their holiday abroad.,British,Time taken off from work or school,vacation
flashlight,torch,British,A portable hand-held light,flashlight
I need a flashlight to see in the dark.,I need a torch to see in the dark.,British,A portable hand-held light,flashlight
The flashlight batteries are dead.,The torch batteries are dead.,British,A portable hand-held light,flashlight
He turned on the flashlight.,He turned on the torch.,British,A portable hand-held light,flashlight
We used a flashlight to find the path.,We used a torch to find the path.,British,A portable hand-held light,flashlight
elevator,lift,British,A device used to move between floors in a building,elevator
Take the elevator to the fifth floor.,Take the lift to the fifth floor.,British,A device used to move between floors in a building,elevator
The elevator is out of order.,The lift is out of order.,British,A device used to move between floors in a building,elevator
They installed a new elevator.,They installed a new lift.,British,A device used to move between floors in a building,elevator
He waited for the elevator to arrive.,He waited for the lift to arrive.,British,A device used to move between floors in a building,elevator
faucet,tap,British,A device for controlling the flow of water,faucet
Turn off the faucet when not in use.,Turn off the tap when not in use.,British,A device for controlling the flow of water,faucet
The faucet is leaking.,The tap is leaking.,British,A device for controlling the flow of water,faucet
He fixed the kitchen faucet.,He fixed the kitchen tap.,British,A device for controlling the flow of water,faucet
There's a faucet in the garden.,There's a tap in the garden.,British,A device for controlling the flow of water,faucet
sweater,jumper,British,A warm garment worn over the upper body,sweater
I bought a new sweater for winter.,I bought a new jumper for winter.,British,A warm garment worn over the upper body,sweater
She knitted a red sweater.,She knitted a red jumper.,British,A warm garment worn over the upper body,sweater
The sweater is very comfortable.,The jumper is very comfortable.,British,A warm garment worn over the upper body,sweater
